date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-17,2330,60857371,67663576840,1125,1125,1095,1120,15,48829
2025-01-20,2330,32062171,36076248367,1125,1135,1120,1120,0,37780
2025-01-21,2330,24368832,27256307475,1115,1125,1110,1120,0,28262
2025-01-22,2330,45996696,52510666410,1140,1150,1135,1135,15,59434
2025-02-03,2330,113031525,120769676393,1065,1075,1060,1070,-65,247531
2025-02-04,2330,57904652,63132252012,1085,1100,1080,1095,25,59315
2025-02-05,2330,43082532,47931709801,1110,1120,1105,1110,15,51245
2025-02-06,2330,33768196,37638807097,1120,1120,1105,1115,5,32994
2025-02-07,2330,31107545,34745052940,1110,1125,1105,1125,10,35637
2025-02-10,2330,31037109,34425517969,1125,1125,1095,1105,-20,60839
2025-02-11,2330,21023057,23294288731,1110,1115,1100,1110,5,31837
2025-02-12,2330,26190392,28966591975,1110,1115,1100,1100,-10,38511
2025-02-13,2330,35681521,38806197999,1090,1095,1080,1090,-10,72456
2025-02-14,2330,73417323,78100130074,1065,1070,1060,1060,-30,218986
2025-02-17,2330,37215861,40057489554,1065,1085,1065,1085,25,57081
2025-02-18,2330,24018940,26204727000,1085,1100,1080,1100,15,30650
2025-02-19,2330,28756849,31328641002,1090,1095,1085,1090,-10,33952
2025-02-20,2330,31108197,33537160793,1080,1085,1070,1080,-10,43395
2025-02-21,2330,31480715,34322859039,1085,1095,1080,1095,15,29895
2025-02-24,2330,33837606,36461265148,1080,1085,1075,1075,-20,47924
2025-02-25,2330,53174277,56084293935,1055,1060,1050,1055,-20,178967
2025-02-26,2330,42921499,45208281264,1045,1060,1045,1060,5,75535
2025-02-27,2330,61646900,64595715596,1065,1065,1040,1040,-20,121377
2025-03-03,2330,73279419,74076141634,1000,1020,1000,1020,-20,208673
2025-03-04,2330,70879417,71031410815,996,1010,996,1000,-20,184239
2025-03-05,2330,45086222,46126315408,1020,1030,1015,1020,20,63259
2025-03-06,2330,49318590,49937586396,1020,1025,1005,1005,-15,99898
2025-03-07,2330,50358724,50550677397,1005,1010,1000,1005,0,95905
2025-03-10,2330,55410836,55278923810,1005,1005,992,998,-7,189791
2025-03-11,2330,58764791,57064143987,969,979,963,971,-27,323403
2025-03-12,2330,38527201,37951553847,980,995,976,988,17,132537
2025-03-13,2330,42915696,42199819801,1000,1005,965,965,-23,192169
2025-03-14,2330,42394920,40803705615,965,969,955,959,-6,163735
2025-03-17,2330,35012870,34177107575,977,985,968,970,11,77808
2025-03-18,2330,25716157,24986151171,976,978,968,971,0,64687
2025-03-19,2330,43493556,41620146409,965,967,950,952,-19,234877
2025-03-20,2330,31993556,31303215198,978,985,971,985,33,61507
2025-03-21,2330,46869716,45683124466,985,987,970,972,-13,63137
2025-03-24,2330,16866075,16480791636,986,987,972,972,0,37815
2025-03-25,2330,28306040,28011143558,989,995,985,990,18,58257
2025-03-26,2330,25939071,25540092915,995,995,980,980,-10,41985
2025-03-27,2330,44589770,42834147980,961,964,958,958,-22,170110
2025-03-28,2330,37802947,35917004376,946,955,946,952,-6,135642
2025-03-31,2330,59733510,54820217557,920,924,910,910,-42,301446
2025-04-01,2330,33673400,31491275577,929,946,925,944,34,73772
2025-04-02,2330,28201820,26641223575,949,952,938,942,-2,61150
2025-04-07,2330,37652704,32012146992,848,848,848,848,-94,219438
2025-04-08,2330,136580582,111279830476,797,843,797,816,-32,425666
2025-04-09,2330,122044966,97865587721,809,826,780,785,-31,518687
2025-04-10,2330,28397160,24506749080,863,863,863,863,78,32126
2025-04-11,2330,81264878,70338979303,848,889,836,889,26,188545
2025-04-14,2330,72625129,64302226102,895,903,865,865,-24,243019
2025-04-15,2330,35642588,31178394103,874,879,865,877,12,66577
2025-04-16,2330,47199014,40541996319,867,869,852,855,-22,178095
2025-04-17,2330,36449601,30955774323,849,856,842,847,-8,104874
2025-04-18,2330,23249139,19831869687,853,858,850,850,3,68176
2025-04-21,2330,20672773,17304529560,844,847,832,835,-15,104189
2025-04-22,2330,32057642,26346742317,826,829,816,816,-19,133084
2025-04-23,2330,40685613,34980602995,853,873,848,873,57,78430
2025-04-24,2330,34499991,30099254355,886,886,859,864,-9,60744
2025-04-25,2330,39651775,35411585995,900,901,886,888,24,76758
2025-04-28,2330,25396543,22758357535,898,898,893,897,9,43185
2025-04-29,2330,31146996,27990673396,897,902,893,902,5,45912
2025-04-30,2330,39204833,35471028626,901,908,899,908,6,46388
2025-05-02,2330,48129292,45206565214,938,950,932,950,42,99509
2025-05-05,2330,56516129,53055259965,956,957,923,938,-12,93285
2025-05-06,2330,43358708,40011158770,916,930,916,920,-18,74918
2025-05-07,2330,39021595,36011806469,925,932,911,928,8,50267
2025-05-08,2330,30777988,28602519292,933,939,918,918,-10,39133
2025-05-09,2330,40878730,38557125038,938,949,934,949,31,68630
2025-05-12,2330,25668469,24554284001,954,962,952,957,8,44647
2025-05-13,2330,50960522,49747284080,990,990,969,969,12,72252
2025-05-14,2330,55061671,54697821594,990,999,988,999,30,105868
2025-05-15,2330,28518212,28422046465,1000,1000,993,993,-6,50265
2025-05-16,2330,18079325,17966857712,991,998,989,998,5,36183
2025-05-19,2330,21936885,21653317847,993,994,980,984,-14,68821
2025-05-20,2330,24317788,23922516474,991,994,978,978,-6,46215
2025-05-21,2330,27677478,27418826043,986,999,983,990,12,47842
2025-05-22,2330,19671417,19321581490,988,988,979,982,-8,41571
2025-05-23,2330,23744132,23343468899,993,993,975,984,2,46204
2025-05-26,2330,20906797,20460682166,975,984,975,976,-8,31349
2025-05-27,2330,29843876,28842510221,971,975,961,965,-11,86318
2025-05-28,2330,31929816,31118692765,984,985,967,967,2,37776
2025-05-29,2330,64850290,62982593605,986,986,967,967,0,36958
2025-06-02,2330,40608468,38643155297,958,961,946,946,-21,125245
2025-06-03,2330,27482916,26302041072,960,965,950,950,4,43550
2025-06-04,2330,43196396,42419360833,974,990,970,990,40,73539
2025-06-05,2330,27047750,26936792104,1000,1000,991,998,8,51309
2025-06-06,2330,18797346,18688985614,997,997,991,995,-3,27283
2025-06-09,2330,23952041,24100014375,1005,1010,1000,1005,10,56903
2025-06-10,2330,55353908,57406744645,1025,1050,1020,1045,40,138656
2025-06-11,2330,46137188,48960267029,1065,1070,1055,1065,20,75830
2025-06-12,2330,28661875,30064888046,1055,1060,1045,1045,0,40293
2025-06-13,2330,31371948,32434779823,1040,1040,1025,1030,-15,40938
2025-06-16,2330,31257555,31982385770,1030,1030,1015,1025,-5,38583
2025-06-17,2330,30890431,32183667155,1040,1050,1035,1045,20,30757
2025-06-18,2330,41740374,43722320684,1040,1055,1030,1055,10,45620
2025-06-19,2330,25354905,26287507815,1045,1045,1030,1035,-20,31893
2025-06-20,2330,67241164,70461692958,1030,1055,1025,1055,20,33114
2025-06-23,2330,33543038,34292190910,1025,1030,1015,1020,-35,56849
2025-06-24,2330,30105394,31487543196,1045,1050,1040,1050,30,33323
